m,μ,D,rθ,N_mean,alphas_mean,betas_mean,alphau_mean,betau_mean,Q_ST_u_mean,Q_ST_s_mean,N_std,alphas_std,betas_std,alphau_std,betau_std,Q_ST_u_std,Q_ST_s_std,N,alphas,betas,alphau,betau,Q_ST_u,Q_ST_s,mean_local_clustering_coefficient,var._local_clustering_coefficient,mean_betweenness_centrality,var._betweenness_centrality,mean_edge_betweeness_centrality_nx,var._edge_betweeness_centrality_nx,mean_eigenvector_centrality,var._eigenvector_centrality,mean_rich_club_nx,var._rich_club_nx,mean_closeness_centrality,var._closeness_centrality,density,degree_var.,degree_correlation,cl,mean_neighb._deg.,var._neighb._deg.,smax,s_elasticity,modules,mean_deg._distrib.,var._deg._distrib.,diameter,graph_energy,algebraic_connectivity,kk,sqrtk,sqrtk_inv,heat_hetero
0.0,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1329.5170000000003,0.008618046306658864,0.23929480643366446,0.020381623206905192,0.19274364047349685,0.9042623310015188,0.9653111636163372,4.671409851426049,0.001552330009924869,0.014181834343663526,0.001554333748516789,0.006787048220087194,0.008486197793673354,0.005111294815673405,"[1335.135, 1325.215, 1331.285, 1324.145, 1331.805]","[0.008006215591922012, 0.011341540833144655, 0.007545704670461966, 0.008378691036287102, 0.007818079401478576]","[0.2478272248886522, 0.24849398454194166, 0.21495834063452005, 0.24665894897076676, 0.23853553313244152]","[0.021141552086268403, 0.019527835246289718, 0.01992617524589317, 0.022656159957778546, 0.018656393498296123]","[0.18786703561502271, 0.19518704294656325, 0.20346816116381158, 0.186998562688783, 0.19019739995330376]","[0.8988484046575002, 0.9090522491471217, 0.9108026838722151, 0.8919358473218246, 0.9106724700089319]","[0.9687053593272145, 0.9563510770254663, 0.9660873371532673, 0.9671472374193262, 0.9682648071564117]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.03448275849223137,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1306.066,0.029480905262074437,0.21584639123578492,0.06658066943684891,0.08935461953757036,0.5735874643796149,0.8799477515822783,4.077683778813619,0.0023622915492993364,0.008227917474355745,0.0076581628830495255,0.005496664180325639,0.03945652914556696,0.005362631290133205,"[1302.165, 1312.57, 1303.265, 1306.915, 1305.415]","[0.02908935233479171, 0.02945306663971842, 0.03338105354292333, 0.028410827742457522, 0.0270702260504812]","[0.2166804535286583, 0.2119004009473489, 0.2293106393428289, 0.20753520632678693, 0.2138052560333015]","[0.06502052266078383, 0.05876687772977401, 0.07829987629984499, 0.06934570491211502, 0.06147036558172674]","[0.08987006719123078, 0.0891887942871144, 0.08031809048045392, 0.09446294316096465, 0.09293320256808803]","[0.5802164436012178, 0.6028075373611492, 0.5063618712986163, 0.5766663987045548, 0.6018850709325367]","[0.8816398449248327, 0.877967087300731, 0.8729268779830005, 0.8795876020780259, 0.887617345624801]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.06896551698446274,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1278.956,0.05050724779697759,0.2109365759209863,0.07946002482155706,0.06587785860576553,0.4580731554700385,0.8065795032010717,2.881304825942559,0.003176884865060918,0.017062909894198473,0.019681040861076915,0.011331974524268838,0.09822494654202203,0.006644936826627626,"[1283.26, 1279.975, 1278.39, 1275.575, 1277.58]","[0.04872710314328216, 0.04775363632271376, 0.05353807288782812, 0.048151962837809856, 0.054365463793254076]","[0.19833017960895113, 0.2097157611175928, 0.23151355891064104, 0.19085887554533812, 0.2242645044224085]","[0.10804960321225153, 0.07574966892240821, 0.054632543844055144, 0.08656989487278866, 0.0722984132562818]","[0.04736594986970748, 0.06388757312991705, 0.0746561122005191, 0.07499708674694655, 0.06848257108173751]","[0.3047696895865297, 0.4575253148152047, 0.5774374526314224, 0.46418572653328416, 0.48644759378375163]","[0.8027700191613085, 0.814526942629035, 0.8121811387290025, 0.79853648828837, 0.8048829271976423]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.1034482792019844,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1250.3139999999999,0.06836256294556835,0.19347535374877106,0.08111844883934505,0.06392396142585002,0.4402331478007195,0.7380304263238807,4.904313662481205,0.0032718065878760325,0.020761624109300058,0.009602156935880955,0.01072204705194403,0.06817956693081732,0.01316257971596526,"[1246.585, 1254.38, 1247.015, 1256.82, 1246.77]","[0.0649344083549695, 0.06641764569410091, 0.06871446231227984, 0.0735707413229005, 0.06817555704359102]","[0.16878363975298338, 0.18251727572645232, 0.187229985109806, 0.22066044383493413, 0.20818542431967949]","[0.08167179834984373, 0.07772406670362625, 0.09700044197388731, 0.07773696636204808, 0.07145897080731987]","[0.06906924157398678, 0.06886646773147535, 0.04778808650229198, 0.05887673720608419, 0.07501927411541179]","[0.4581979904668794, 0.46978795729791023, 0.3300543696744187, 0.43097241102698797, 0.512153010537401]","[0.7221677620507223, 0.7331927344099133, 0.7315258721008284, 0.7499560038701033, 0.7533097591878366]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.13793103396892548,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1225.5210000000002,0.08502008890178883,0.17078392937475648,0.09258105791075193,0.05610073023417865,0.38544112428952665,0.6676035314722363,7.690113295654359,0.004421747061410036,0.008923303475498105,0.02540672194748088,0.01058289889879432,0.10106502177815173,0.006090115610100723,"[1212.855, 1230.355, 1226.22, 1225.425, 1232.75]","[0.09113812318424616, 0.08389674405809294, 0.08742589840447026, 0.08310078433852956, 0.07953889452360521]","[0.1763196798951333, 0.1719250727351097, 0.17977148768316842, 0.16939727936501112, 0.1565061271953598]","[0.10594245382535596, 0.09467142553700839, 0.07111893709024227, 0.0645989430624542, 0.12657353003869887]","[0.04958014761198465, 0.05329335908774227, 0.07364950087881887, 0.057274325946866496, 0.04670631764548101]","[0.31879705685067444, 0.36017596499665827, 0.5087400396940023, 0.4699498619544392, 0.2695426979518589]","[0.6592429828745843, 0.6720500811472537, 0.6728040656213784, 0.6708854590025742, 0.6630350687153904]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.17241379618644714,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1193.9650000000001,0.09735779325510238,0.14331085840672186,0.08602049412691998,0.05320654817605123,0.38174510249520965,0.5945170563146226,8.018502042152283,0.004932680634888635,0.015314930910448629,0.006329160983627715,0.006936828280739832,0.039743352747606486,0.01532079309454561,"[1204.15, 1181.865, 1193.43, 1196.56, 1193.82]","[0.09420393073873505, 0.09177368267009779, 0.10247227432845461, 0.1025954296130429, 0.09574364892518153]","[0.13845465713950314, 0.12157152308468058, 0.15319506458219811, 0.16178272918578163, 0.14155031804144583]","[0.08337367383437773, 0.09639563827217838, 0.08458574909922176, 0.08631759646814949, 0.07942981296067249]","[0.0471381718695917, 0.047156679345991784, 0.051323829098870635, 0.06316457250136014, 0.057249488064441835]","[0.3611792601302398, 0.32849820977061617, 0.3776321711782857, 0.4225559003913305, 0.41885997100557637]","[0.5950979862903808, 0.5698348020269852, 0.5991968517955073, 0.611936817779597, 0.5965188236806427]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.2068965584039688,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1170.655,0.10967703774351953,0.12488476775825921,0.0979244778142607,0.03946039053620247,0.29160341335629036,0.5320930102370618,11.15545886550616,0.007842784027162597,0.011375122983680694,0.01754110521585033,0.0060572467328573075,0.0648766092806689,0.00683007513774267,"[1180.44, 1184.905, 1160.735, 1162.91, 1164.285]","[0.11087462212211259, 0.0978285094747741, 0.10730109149281197, 0.11880965832835183, 0.11357130729954713]","[0.13001035585080253, 0.10920840270319644, 0.11850122388588635, 0.13889351520025822, 0.1278103411511525]","[0.1013406401176612, 0.07430630664585927, 0.10002710198700938, 0.12267541888493337, 0.09127292143584029]","[0.03774949294621281, 0.042940449412941825, 0.04045572940944608, 0.03011224309489285, 0.0460440378175188]","[0.2714030975071194, 0.3662399784554083, 0.2879763242760697, 0.19708556767410193, 0.3353120988687525]","[0.5397196493731575, 0.5274827640846964, 0.5248007474464785, 0.5389670344313332, 0.5294948558496434]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.24137930572032928,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1144.618,0.12483696520203294,0.11262789436035776,0.09056448801941396,0.03953014470013837,0.3045427417157001,0.47320383960020473,4.859652250933213,0.009114943024670575,0.014313170369177473,0.011154457495860292,0.004088719983293882,0.024031540508747583,0.015578713301565685,"[1145.165, 1145.825, 1137.385, 1143.795, 1150.92]","[0.12360542628287542, 0.1175835147771033, 0.1290644709985622, 0.1381742890863444, 0.11575712486527934]","[0.11524880143062273, 0.10372087116229797, 0.11894835535118053, 0.13122945377375386, 0.09399199008393365]","[0.10929672232010265, 0.09056069765466476, 0.08802563201031266, 0.08031401511541833, 0.08462537299657141]","[0.044427664556485655, 0.040593882689821996, 0.03336561853388511, 0.040997656470745936, 0.03826590124975315]","[0.289008565649071, 0.3095117424278992, 0.2748601598904931, 0.33795310817744734, 0.3113801324335898]","[0.48250685170564295, 0.4686796907436772, 0.47960566032759105, 0.48711072971952546, 0.4481162655045869]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.27586206793785095,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1120.148,0.1273727387113868,0.08985311190503596,0.09058658325021962,0.03050144767364287,0.2519546422616411,0.41062741590804225,11.052945082646536,0.015315067366122046,0.019468526516272913,0.0062905491674978605,0.0030624360507183527,0.020944951221743894,0.025214340375019406,"[1125.035, 1133.735, 1113.145, 1105.32, 1123.505]","[0.14349446793178733, 0.11523209778365726, 0.11272078972389349, 0.14409427013438983, 0.121322067983206]","[0.11220461037276307, 0.07833102420888345, 0.06715810894985692, 0.10799833634175096, 0.08357347965192545]","[0.08339218830964996, 0.09455626831602039, 0.09550080733168446, 0.09545100690167936, 0.08403264539206394]","[0.03243529086291188, 0.02710726494762047, 0.03204971329583905, 0.033608106828640655, 0.027306862433202315]","[0.2800310521701781, 0.22280517604958852, 0.2512707367885349, 0.2604086287069013, 0.24525761759300302]","[0.43881507558318905, 0.40467948337753135, 0.3733517908160134, 0.4284073930267067, 0.40788333673677113]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
0.3103448152542114,0.10000000149011612,0.05000000074505806,-0.12500000083819032,1094.6510000000003,0.13891677029385002,0.07856555611084684,0.10575026763478768,0.02446975463164,0.18941266091332665,0.36057943771481116,8.492577200120104,0.007115917576132573,0.00813338065380031,0.01277157788802602,0.0031499168723321458,0.031565813043802037,0.01390710194690103,"[1093.795, 1103.97, 1093.015, 1081.885, 1100.59]","[0.1328368434156046, 0.1312900838920865, 0.13940670734261407, 0.1486741536515312, 0.14237606316741375]","[0.07370633710234137, 0.06787487209030138, 0.07820913126563901, 0.08632882883346983, 0.08670861126248262]","[0.09835550777180513, 0.121662513082571, 0.09658820218985908, 0.11748350830444347, 0.09466160682525966]","[0.027978127323501165, 0.025350602458159156, 0.022381381653242376, 0.020189228469241444, 0.02644943325405586]","[0.22146222027407367, 0.1724376928202419, 0.18812692227922065, 0.1466465252479855, 0.2183899439451114]","[0.35685679341970444, 0.34079726403425886, 0.3593908042990807, 0.36735205621903005, 0.37850027060198155]",1.0,0.0,0.0,0.0,0.027777777777777783,0.0,0.3333333333333333,1.925929944387236e-33,1.0,0.0,1.0,0.0,1.0,0.0,NaN,1.0,8.0,0.0,1.0,0.0,1.0,72.0,NaN,1.0,15.99999999999999,9.0,1.0,1.0000000000000004,0.9999999999999996,0.08131733609081486
